Date,Up_4pct_Daily,Down_4pct_Daily,Up_2pct_Daily,Down_2pct_Daily,Up_25pct_Quarter,Down_25pct_Quarter,Up_50pct_Quarter,Up_25pct_Month,Total_Stocks,10Day_Bulls,10Day_Bears,10Day_Ratio,DCR,Market_Regime,Swing_Signal
2025-09-05,1,1,5,9,3,0,0,1,64,,,,0,BEAR,CASH
2025-09-08,0,0,3,4,3,0,0,1,64,,,,0,BEAR,CASH
2025-09-09,1,0,5,2,4,0,0,1,64,,,,1,BEAR,CASH
2025-09-10,1,0,5,10,5,0,1,1,64,,,,2,BEAR,CASH
2025-09-11,2,0,15,3,4,0,0,1,64,5,1,5.0,4,BEAR,CASH
2025-09-12,1,0,1,7,4,1,0,1,64,6,1,6.0,5,BEAR,CASH
2025-09-15,1,0,3,4,5,1,0,0,64,7,1,7.0,6,BEAR,CASH
2025-09-16,0,0,4,2,5,1,0,1,64,7,1,7.0,6,BEAR,CASH
2025-09-17,0,0,6,2,6,0,0,1,64,7,1,7.0,6,BEAR,CASH
2025-09-18,0,1,5,6,6,0,0,2,64,7,2,3.5,5,BEAR,CASH
2025-09-19,0,0,3,0,8,0,0,2,64,6,1,6.0,5,BEAR,CASH
2025-09-22,1,0,3,0,9,0,0,1,64,7,1,7.0,6,BEAR,CASH
2025-09-23,0,1,0,5,8,0,1,0,64,6,2,3.0,5,BEAR,CASH
2025-09-24,0,0,3,3,5,0,0,1,64,5,2,2.5,5,BEAR,CASH
2025-09-25,1,1,1,11,3,0,0,0,64,4,3,1.33,5,BEAR,CASH
2025-09-26,1,0,3,1,5,0,0,1,64,4,3,1.33,6,BEAR,CASH
2025-09-29,0,0,3,3,3,0,0,1,64,3,3,1.0,6,BEAR,CASH
2025-09-30,5,0,11,2,4,0,0,1,64,8,3,2.67,11,BEAR,CASH
2025-10-01,9,0,11,7,4,0,0,1,64,17,3,5.67,20,BEAR,CASH
2025-10-02,0,1,3,2,5,0,0,1,64,17,3,5.67,19,BEAR,CASH
2025-10-03,1,0,7,2,5,0,0,0,64,18,3,6.0,20,BEAR,CASH
2025-10-06,2,0,6,4,4,0,0,2,64,19,3,6.33,22,BEAR,CASH
2025-10-07,0,1,2,3,5,0,1,1,64,19,3,6.33,21,BEAR,CASH
2025-10-08,1,0,6,2,6,0,1,2,64,20,3,6.67,22,BEAR,CASH
2025-10-09,1,0,4,3,4,0,1,1,64,20,2,10.0,23,BEAR,CASH
2025-10-10,0,8,1,28,3,0,0,1,64,19,10,1.9,15,BEAR,CASH
2025-10-13,3,0,14,0,4,0,0,1,64,22,10,2.2,18,BEAR,CASH
2025-10-14,3,1,12,4,5,0,0,1,64,20,11,1.82,20,BEAR,CASH
2025-10-15,3,0,6,3,6,0,1,1,64,14,11,1.27,23,BEAR,CASH
2025-10-16,0,1,2,12,6,0,0,1,64,14,11,1.27,22,BEAR,CASH
2025-10-17,1,0,8,2,5,0,0,1,64,14,11,1.27,23,BEAR,CASH
2025-10-20,1,0,12,0,6,0,1,1,64,13,11,1.18,24,BEAR,CASH
