Date,Up_4pct_Daily,Down_4pct_Daily,Up_2pct_Daily,Down_2pct_Daily,Up_25pct_Quarter,Down_25pct_Quarter,Up_50pct_Quarter,Up_25pct_Month,Total_Stocks,10Day_Bulls,10Day_Bears,10Day_Ratio,DCR,Market_Regime,Swing_Signal
2025-05-20,0,0,2,0,8,0,1,7,64,,,,0,BEAR,CASH
2025-05-21,0,2,1,22,8,1,0,3,64,,,,-2,BEAR,CASH
2025-05-22,0,2,0,5,7,1,0,1,64,,,,-4,BEAR,CASH
2025-05-23,1,0,1,4,8,1,0,0,64,,,,-3,BEAR,CASH
2025-05-27,2,0,28,0,9,1,1,1,64,3,4,0.75,-1,BEAR,CASH
2025-05-28,0,0,0,0,9,1,1,1,64,3,4,0.75,-1,BEAR,CASH
2025-05-29,0,0,3,1,9,1,1,3,64,3,4,0.75,-1,BEAR,CASH
2025-05-30,0,1,3,5,9,1,1,0,64,3,5,0.6,-2,BEAR,CASH
2025-06-02,0,0,3,1,9,1,1,0,64,3,5,0.6,-2,BEAR,CASH
2025-06-03,0,0,6,0,9,1,2,1,64,3,5,0.6,-2,BEAR,CASH
2025-06-04,0,0,2,1,10,1,1,1,64,3,5,0.6,-2,BEAR,CASH
2025-06-05,0,1,1,3,10,1,1,1,64,3,4,0.75,-3,BEAR,CASH
2025-06-06,0,1,11,1,11,1,0,0,64,3,3,1.0,-4,BEAR,CASH
2025-06-09,4,1,6,3,11,1,0,0,64,6,4,1.5,-1,BEAR,CASH
2025-06-10,2,0,7,1,11,1,0,0,64,6,4,1.5,1,BEAR,CASH
2025-06-11,0,0,3,2,12,1,1,0,64,6,4,1.5,1,BEAR,CASH
2025-06-12,0,0,1,3,12,1,1,0,64,6,4,1.5,1,BEAR,CASH
2025-06-13,0,3,2,16,11,1,0,0,64,6,6,1.0,-2,BEAR,CASH
2025-06-16,1,0,9,0,12,1,1,0,64,7,6,1.17,-1,BEAR,CASH
2025-06-17,0,1,0,9,12,1,1,0,64,7,7,1.0,-2,BEAR,CASH
2025-06-18,0,3,1,3,12,1,2,0,64,7,10,0.7,-5,BEAR,CASH
2025-06-20,0,1,1,3,12,1,1,0,64,7,10,0.7,-6,BEAR,CASH
2025-06-23,1,1,10,2,13,1,3,0,64,8,10,0.8,-6,BEAR,CASH
2025-06-24,1,0,13,4,16,1,3,1,64,5,9,0.56,-5,BEAR,CASH
2025-06-25,1,0,3,5,16,1,3,1,64,4,9,0.44,-4,BEAR,CASH
2025-06-26,1,0,9,1,18,1,3,1,64,5,9,0.56,-3,BEAR,CASH
2025-06-27,0,0,5,2,17,1,4,1,64,5,9,0.56,-3,BEAR,CASH
2025-06-30,0,0,4,1,19,1,4,1,64,5,6,0.83,-3,BEAR,CASH
2025-07-01,3,2,12,7,18,0,3,0,64,7,8,0.88,-2,BEAR,CASH
2025-07-02,1,2,6,4,19,1,3,0,64,8,9,0.89,-3,BEAR,CASH
2025-07-03,0,0,0,0,19,1,3,0,64,8,6,1.33,-3,BEAR,CASH
2025-07-07,0,1,0,5,19,1,3,0,64,8,6,1.33,-4,BEAR,CASH
2025-07-08,0,0,3,4,18,1,4,0,64,7,5,1.4,-4,BEAR,CASH
2025-07-09,0,0,4,1,18,1,4,0,64,6,5,1.2,-4,BEAR,CASH
2025-07-10,2,0,6,5,19,1,5,0,64,7,5,1.4,-2,BEAR,CASH
2025-07-11,0,0,0,8,19,1,4,0,64,6,5,1.2,-2,BEAR,CASH
2025-07-14,0,0,1,5,19,1,4,0,64,6,5,1.2,-2,BEAR,CASH
2025-07-15,2,2,2,12,16,1,4,1,64,8,7,1.14,-2,BEAR,CASH
2025-07-16,0,0,8,0,18,1,4,1,64,5,5,1.0,-2,BEAR,CASH
2025-07-17,1,1,5,5,19,1,4,1,64,5,4,1.25,-2,BEAR,CASH
2025-07-18,0,1,2,6,19,1,4,0,64,5,5,1.0,-3,BEAR,CASH
2025-07-21,0,0,2,2,19,1,3,0,64,5,4,1.25,-3,BEAR,CASH
2025-07-22,1,0,15,3,19,1,3,0,64,6,4,1.5,-2,BEAR,CASH
2025-07-23,3,2,13,2,19,1,4,0,64,9,6,1.5,-1,BEAR,CASH
2025-07-24,0,4,2,6,19,1,5,0,64,7,10,0.7,-5,BEAR,CASH
2025-07-25,0,1,2,1,19,1,3,0,64,7,11,0.64,-6,BEAR,CASH
2025-07-28,1,0,3,3,15,1,3,0,64,8,11,0.73,-5,BEAR,CASH
2025-07-29,0,4,2,6,10,1,3,1,64,6,13,0.46,-9,BEAR,CASH
2025-07-30,0,1,1,5,10,1,3,1,64,6,14,0.43,-10,BEAR,CASH
2025-07-31,2,4,4,22,10,1,3,1,64,7,17,0.41,-12,BEAR,CASH
2025-08-01,0,3,3,16,9,1,3,0,64,7,19,0.37,-15,BEAR,CASH
2025-08-04,0,0,17,3,10,1,3,1,64,7,19,0.37,-15,BEAR,CASH
2025-08-05,2,2,3,3,7,1,2,1,64,8,21,0.38,-15,BEAR,CASH
2025-08-06,3,2,11,7,7,1,2,0,64,8,21,0.38,-14,BEAR,CASH
2025-08-07,1,1,5,8,7,1,3,0,64,9,18,0.5,-14,BEAR,CASH
2025-08-08,1,0,8,3,7,1,3,0,64,10,17,0.59,-13,BEAR,CASH
2025-08-11,0,1,2,6,8,1,2,0,64,9,18,0.5,-14,BEAR,CASH
2025-08-12,1,0,16,0,9,1,3,0,64,10,14,0.71,-13,BEAR,CASH
2025-08-13,2,0,15,3,9,1,2,0,64,12,13,0.92,-11,BEAR,CASH
2025-08-14,0,0,3,0,5,1,1,0,64,10,9,1.11,-11,BEAR,CASH
2025-08-15,2,1,7,5,4,0,1,0,64,12,7,1.71,-10,BEAR,CASH
2025-08-18,0,0,1,1,3,0,0,0,64,12,7,1.71,-10,BEAR,CASH
2025-08-19,1,1,7,7,3,0,0,0,64,11,6,1.83,-10,BEAR,CASH
2025-08-20,0,0,3,1,3,0,0,0,64,8,4,2.0,-10,BEAR,CASH
2025-08-21,0,1,0,6,3,0,0,0,64,7,4,1.75,-11,BEAR,CASH
2025-08-22,2,1,22,1,5,0,0,0,64,8,5,1.6,-10,BEAR,CASH
2025-08-25,0,0,0,5,5,0,0,0,64,8,4,2.0,-10,BEAR,CASH
2025-08-26,1,0,4,1,5,0,1,0,64,8,4,2.0,-9,BEAR,CASH
2025-08-27,0,0,1,1,5,0,1,0,64,6,4,1.5,-9,BEAR,CASH
2025-08-28,0,0,2,0,3,0,0,0,64,6,4,1.5,-9,BEAR,CASH
2025-08-29,0,0,1,5,2,0,0,1,64,4,3,1.33,-9,BEAR,CASH
2025-09-02,0,0,1,4,1,0,0,1,64,4,3,1.33,-9,BEAR,CASH
2025-09-03,1,1,2,8,4,0,0,0,64,4,3,1.33,-9,BEAR,CASH
2025-09-04,1,2,7,2,3,0,0,1,64,5,5,1.0,-10,BEAR,CASH
2025-09-05,1,1,5,9,3,0,0,1,64,6,5,1.2,-10,BEAR,CASH
2025-09-08,0,0,3,4,3,0,0,1,64,4,4,1.0,-10,BEAR,CASH
2025-09-09,1,0,5,2,4,0,0,1,64,5,4,1.25,-9,BEAR,CASH
2025-09-10,1,0,5,10,5,0,1,1,64,5,4,1.25,-8,BEAR,CASH
2025-09-11,2,0,15,3,4,0,0,1,64,7,4,1.75,-6,BEAR,CASH
2025-09-12,1,0,1,7,4,1,0,1,64,8,4,2.0,-5,BEAR,CASH
2025-09-15,1,0,3,4,5,1,0,0,64,9,4,2.25,-4,BEAR,CASH
2025-09-16,0,0,4,2,5,1,0,1,64,9,4,2.25,-4,BEAR,CASH
2025-09-17,0,0,6,2,6,0,0,1,64,8,3,2.67,-4,BEAR,CASH
2025-09-18,0,1,5,6,6,0,0,2,64,7,2,3.5,-5,BEAR,CASH
2025-09-19,0,0,3,0,8,0,0,2,64,6,1,6.0,-5,BEAR,CASH
2025-09-22,1,0,3,0,9,0,0,1,64,7,1,7.0,-4,BEAR,CASH
2025-09-23,0,1,0,5,8,0,1,0,64,6,2,3.0,-5,BEAR,CASH
2025-09-24,0,0,3,3,5,0,0,1,64,5,2,2.5,-5,BEAR,CASH
2025-09-25,1,1,1,11,3,0,0,0,64,4,3,1.33,-5,BEAR,CASH
2025-09-26,1,0,3,1,5,0,0,1,64,4,3,1.33,-4,BEAR,CASH
2025-09-29,0,0,3,3,3,0,0,1,64,3,3,1.0,-4,BEAR,CASH
2025-09-30,5,0,11,2,4,0,0,1,64,8,3,2.67,1,BEAR,CASH
2025-10-01,9,0,11,7,4,0,0,1,64,17,3,5.67,10,BEAR,CASH
2025-10-02,0,1,3,2,5,0,0,1,64,17,3,5.67,9,BEAR,CASH
2025-10-03,1,0,7,2,5,0,0,0,64,18,3,6.0,10,BEAR,CASH
2025-10-06,2,0,6,4,4,0,0,2,64,19,3,6.33,12,BEAR,CASH
2025-10-07,0,1,2,3,5,0,1,1,64,19,3,6.33,11,BEAR,CASH
2025-10-08,1,0,6,2,6,0,1,2,64,20,3,6.67,12,BEAR,CASH
2025-10-09,1,0,4,3,4,0,1,1,64,20,2,10.0,13,BEAR,CASH
2025-10-10,0,8,1,28,3,0,0,1,64,19,10,1.9,5,BEAR,CASH
2025-10-13,3,0,14,0,4,0,0,1,64,22,10,2.2,8,BEAR,CASH
2025-10-14,3,1,12,4,5,0,0,1,64,20,11,1.82,10,BEAR,CASH
2025-10-15,3,0,6,3,6,0,1,1,64,14,11,1.27,13,BEAR,CASH
2025-10-16,0,1,2,12,6,0,0,1,64,14,11,1.27,12,BEAR,CASH
2025-10-17,1,0,8,2,5,0,0,1,64,14,11,1.27,13,BEAR,CASH
2025-10-20,1,0,12,0,6,0,1,1,64,13,11,1.18,14,BEAR,CASH
